[2026-03-29 21:26:53] Min FPS: 7.0 | Max FPS: 17.9
[2026-03-29 21:27:03] Min FPS: 7.4 | Max FPS: 17.2
[2026-03-29 21:27:13] Min FPS: 7.1 | Max FPS: 17.9
[2026-03-29 21:27:23] Min FPS: 7.5 | Max FPS: 16.9
[2026-03-29 21:27:33] Min FPS: 8.8 | Max FPS: 17.2
[2026-03-29 21:27:43] Min FPS: 7.3 | Max FPS: 18.5
[2026-03-29 21:27:53] Min FPS: 7.0 | Max FPS: 17.9
[2026-03-29 21:28:03] Min FPS: 6.9 | Max FPS: 17.9
[2026-03-29 21:28:13] Min FPS: 6.7 | Max FPS: 17.9
[2026-03-29 21:28:23] Min FPS: 9.1 | Max FPS: 17.9
[2026-03-29 21:28:33] Min FPS: 7.5 | Max FPS: 17.2
[2026-03-29 21:28:43] Min FPS: 7.3 | Max FPS: 17.5
[2026-03-29 21:28:53] Min FPS: 7.4 | Max FPS: 18.5
[2026-03-29 21:29:03] Min FPS: 7.2 | Max FPS: 18.5
[2026-03-29 21:29:13] Min FPS: 8.0 | Max FPS: 17.5
[2026-03-29 21:29:23] Min FPS: 6.8 | Max FPS: 17.5
[2026-03-29 21:29:33] Min FPS: 7.0 | Max FPS: 17.2
[2026-03-29 21:29:43] Min FPS: 7.5 | Max FPS: 17.5
[2026-03-29 21:29:53] Min FPS: 8.8 | Max FPS: 17.5
[2026-03-29 21:30:03] Min FPS: 7.2 | Max FPS: 17.5
[2026-03-29 21:30:13] Min FPS: 7.4 | Max FPS: 16.9
[2026-03-29 21:30:24] Min FPS: 9.4 | Max FPS: 17.2
[2026-03-29 21:30:34] Min FPS: 7.5 | Max FPS: 17.2
[2026-03-29 21:30:44] Min FPS: 8.5 | Max FPS: 17.2
[2026-03-29 21:30:54] Min FPS: 7.9 | Max FPS: 16.9
[2026-03-29 21:31:04] Min FPS: 9.1 | Max FPS: 18.5
[2026-03-29 21:31:14] Min FPS: 7.3 | Max FPS: 17.5
[2026-03-29 21:31:24] Min FPS: 8.6 | Max FPS: 17.9
[2026-03-29 21:31:34] Min FPS: 8.9 | Max FPS: 18.2
[2026-03-29 21:31:44] Min FPS: 9.3 | Max FPS: 18.9
[2026-03-29 21:31:54] Min FPS: 6.8 | Max FPS: 18.9
[2026-03-29 21:32:04] Min FPS: 9.3 | Max FPS: 18.2
[2026-03-29 21:32:14] Min FPS: 8.5 | Max FPS: 18.9
[2026-03-29 21:32:24] Min FPS: 7.9 | Max FPS: 18.9
[2026-03-29 21:32:34] Min FPS: 7.8 | Max FPS: 17.5
[2026-03-29 21:32:44] Min FPS: 7.9 | Max FPS: 18.5
[2026-03-29 21:32:54] Min FPS: 7.5 | Max FPS: 17.5
[2026-03-29 21:33:04] Min FPS: 8.3 | Max FPS: 17.5
[2026-03-29 21:33:14] Min FPS: 7.4 | Max FPS: 18.2
[2026-03-29 21:33:25] Min FPS: 7.1 | Max FPS: 17.9
[2026-03-29 21:33:35] Min FPS: 6.8 | Max FPS: 16.9
