epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.0,0.005291005130857229,1.0,3.544002056121826,0.03703703731298447,0.0,0.0,1.0,3.6062023639678955,0.0
1,0.0,0.010582010261714458,0.9629629850387573,3.5293898582458496,0.0634920671582222,0.0,0.0,1.0,3.603541851043701,0.0
2,0.0,0.24338623881340027,1.0,3.1417429447174072,0.46560847759246826,0.0,0.0,1.0,3.596801280975342,0.0
3,0.0,0.28042328357696533,1.0,2.603745937347412,0.5661375522613525,0.0,0.0,1.0,3.5847461223602295,0.0714285746216774
4,0.0,0.27513226866722107,1.0,2.2835865020751953,0.5714285969734192,0.0,0.0,1.0,3.5674500465393066,0.1428571492433548
5,0.0,0.16402116417884827,1.0,2.060689687728882,0.5291005373001099,0.0,0.0,1.0,3.544649839401245,0.1428571492433548
6,0.0,0.1428571492433548,1.0,2.270280361175537,0.5026454925537109,0.0,0.0,1.0,3.5164589881896973,0.1428571492433548
7,0.0,0.27513226866722107,1.0,2.3327369689941406,0.5661375522613525,0.0,0.0,1.0,3.483832836151123,0.1428571492433548
8,0.0,0.15343914926052094,1.0,2.228969097137451,0.5555555820465088,0.0,0.0,1.0,3.448190927505493,0.1428571492433548
9,0.0,0.14814814925193787,1.0,2.1520988941192627,0.49735450744628906,0.0,0.0,1.0,3.41060471534729,0.1428571492433548
10,0.0,0.19576719403266907,1.0,2.131279468536377,0.5820105671882629,0.0,0.1428571492433548,1.0,3.372387170791626,0.4285714328289032
11,0.0,0.2380952388048172,1.0,1.9998646974563599,0.5820105671882629,0.0,0.1428571492433548,1.0,3.3345916271209717,0.4285714328289032
12,0.0,0.2063492089509964,1.0,2.0382182598114014,0.5555555820465088,0.0,0.1428571492433548,1.0,3.2972729206085205,0.4285714328289032
13,0.0,0.2857142984867096,1.0,1.9940234422683716,0.5555555820465088,0.0,0.1428571492433548,1.0,3.2605221271514893,0.4285714328289032
